MP Mine (FID: 1),80.166667,21.816667,BALAGHAT BELT,6210000.0,+48% Mn,"PHYLLITE,QUARTZITE",LOHANGI Fm..,,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 2),80.233333,22.0,SAUSAR BELT,1600000.0,35%-46% Mn,"SCHIST,PHYLLITE",LOHANGI Fm.,,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 3),79.75,21.716667,SAUSAR BELT,,-,GONDITE-QUARTZITE,LOHANGI Fm..,,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 4),79.733333,21.683333,SAUSAR BELT,799700.0,+48% Mn,"GONDITE,QUARTZITE",LOHANGI Fm..,,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 5),80.466667,21.966667,SAUSAR BELT,12500000.0,38.51%-43.12% Mn,SCHIST AND PHYLLITE,LOHANGI Fm.,,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 6),80.366667,21.833333,SAUSAR BELT,437000.0,50.36% Mn,SCHISTS,LOHANGI Fm..,,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 7),79.1,21.41878833,Sausar Belt,159000.0,Mn (Manganese): 7.65 to 25.12%,Pink and white Marble,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 8),79.2666670002,21.3333330003,Sausar Belt,200000.0,,"Quartz schist, Mica schist",,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 9),79.3033694148,21.4167436996,Sausar Belt,180000.0,Low Grade Ore,Chorbaoli Quartzite,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 10),79.31426769,21.3486571448,Sausar Belt,500.0,Mn (Manganese): 37.94% and P (Phosphorus): 0.24%,Quartzite,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 11),79.4263446656,21.5794225155,Sausar Belt,,,"Braunite rich, hosted in pink and white marble",,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 12),79.4499999997,21.383333,Sausar Belt,383968.0,Mn (Manganese) (Wt%):30%-35% in pink and white marble,Gondites,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 13),79.500383,21.4044830001,Sausar Belt,126000.0,"Mn (Manganese) (Wt%):35.80%, P (Phosphorous) (Wt%):0.29%",Calc Granulite,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
