GID,OBJECTID,LOCALITY,REGION,STATE,TOPOSHEET,COMMODITY,RESOURCE,GRADE,REMARKS,AGE,HOST_ROCK,LONGITUDE,LATITUDE,GEOLOGY,MORPHOMETR,OCCURRENCE,STATE_RESO,STNAME,STCODE11
806,806,Roida,ER,Odisha,73F08,Manganese,Reserve: 1.91 MT,Mn (Manganese) (Wt%):26.11%,,Archaean-Palaeoproterozoic,Tuffaceous Shale,85.3666670003,22.016667,Lower Bonai Group,Volcanogenic/Volcanic exhalative/other volcano se*,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
808,808,Sarkunda,ER,Odisha,73G01,Manganese,"Reserve: 142,500 T",Medium Grade,,Archaean-Palaeoproterozoic,Metasediments-Metavoocnics,85.1500000004,21.8166670003,Lower Bonai Group,Volcano sedimentary sequence,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
804,804,Koira,ER,Odisha,"73G01,05",Manganese,"Reserve: 75,000 T",Mn (Manganese) (Wt%):28%-37%,,Archaean-Palaeoproterozoic,"Shale,Tuffaceous Shale",85.2500000003,21.9000000004,Lower Bonai Group,Volcano sedimentary sequence,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
805,805,Katsai,ER,Odisha,73G05,Manganese,,,,Archaean-Palaeoproterozoic,Tuffaceous Shale,85.35,21.8333330001,Lower Bonai Group,Volcanogenic/Volcanic exhalative/other volcano se*,Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
1296,1296,"Keonjhar, Sundargarh",ER,Odisha,73G5 & 73F08,Manganese,Resource: 34.314 MT,Mn (Manganese) (Wt%):20%,,Archaean-Palaeoproterozoic,"Shale, Laterite",85.3329999999,21.9999999996,Lower Bonai Group,Volcanogenic/Volcanic exhalative/other volcano se*,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
1554,1554,Lasarda-Pacheri block,ER,Odisha,73F08,Manganese,Resource: 7.86 MT @ a cut off of 20% Mn,Mn (Manganese) Wt%): 26.06% (Ref: executive summary of GSI for the block),,Archaean-Palaeoproterozoic,"BHJ/BHQ, Chert, Shale, Tuff, Dolomite, Mafic volcanics and Laterite",0,0,Lower Bonai Group,"Reworked Detrital, Concretionary and WAD",,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
807,807,Saramdah-Bhadrasai,ER,Odisha,73F08,Manganese,Reserve: 6.814 MT,Low to Medium Grade Ore,,Archaean-Palaeoproterozoic,Tuffaceous Shale,85.3999999996,22.0499999999,Lower Bonai Group,Volcano sedimentary sequence,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
1297,1297,Sundargarh,ER,Odisha,73B04,Manganese,Resource: 0.74 MT,Mn (Manganese) (Wt%):24.6%,"Thin bands, laminations, disseminated within fracture filling",Palaeoproterozoic,Gondites,84.1083299997,22.0416700005,Sargipalli Belt/Gangpur group,Supergene enrichment,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
934,934,Gudighat-Barabandh,ER,Odisha,64P03,Manganese,Resource: 0.36 MT,,,Archaean-Proterozoic,Khondalite,83.036111111,20.425,Khondalite Gneissic Complex/Eastern Ghat,Stratiform/bedded (VMS type),,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
523,523,Ratanpur-Kota belt,CR,Chhattisgarh,64D13,Manganese,,,,Mesoproterozoic-Neoproterozoic,Quartzite,80.8671633095,20.9514109541,Chandrapur formation/Chhattisgarh Supergroup,Metasedimentary sequence,Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",CHHATTISGARH,22
1298,1298,"Rayagada-Bolangir, Koraput",ER,Odisha,65M07,Manganese,Resource: 26.31 MT,Mn (Manganese) (Wt%):20%,32 kms. in cumulative strike length.,Archaean-Proterozoic,"Quartzite, Khondalite",83.2831199216,19.3994960124,Khondalite Gneissic Complex/Eastern Ghat,Stratiform/bedded (VMS type),,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
803,803,Nishikhal,ER,Odisha,65M04,Manganese,"Reserve: 335,100 T",Mn (Manganese) (Wt%):25%-30%,,Archaean-Proterozoic,Khondalite,83.2166669999,19.2166670002,Khondalite Gneissic Complex/Eastern Ghat,Stratiform/bedded (VMS type),,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ODISHA,21
1088,1088,Chipurapalli,SR,Andhra Pradesh,65N11,Manganese,,,,Archaean-Proterozoic,"Garnetiferous Quartzite, Calc gneiss",83.631774571,18.3917611048,Migmatite Gneissic Complex/Eastern Ghat,Stratiform/bedded (VMS type),Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ANDHRA PRADESH,28
1090,1090,Avagudem,SR,Andhra Pradesh,65N11,Manganese,,,,Archaean-Proterozoic,"Garnetiferous Quartzite, Calc gneiss",83.5501925047,18.3498314974,Migmatite Gneissic Complex/Eastern Ghat,Stratiform/bedded (VMS type),Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ANDHRA PRADESH,28
801,801,Garbham,SR,Andhra Pradesh,65N07,Manganese,"Reserve: 49,948 T",Mn (Manganese) (Wt%):26%-32%,,Archaean-Proterozoic,Khondalite,83.4833329996,18.3666669997,Migmatite Gneissic Complex/Eastern Ghat,Stratiform/bedded (VMS type),,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ANDHRA PRADESH,28
538,538,Devada,SR,Andhra Pradesh,65N11,Manganese,"Resource: 96,502 T",Mn (Manganese) (Wt%):26%-38%,,Archaean-Proterozoic,Khondalite,83.5500000001,18.266667,Migmatite Gneissic Complex/Eastern Ghat,Stratiform/bedded (VMS type),,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ANDHRA PRADESH,28
1089,1089,Sadahandapan,SR,Andhra Pradesh,65N12,Manganese,,,,Archaean-Proterozoic,"Garnetiferous Quartzite, Calc gneiss",83.5504892755,18.0992766664,Migmatite Gneissic Complex/Eastern Ghat,Stratiform/bedded (VMS type),Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",ANDHRA PRADESH,28
1389,1389,Khar,NR,Leh,52F06,Manganese,,,,Cretaceous-Tertiary,Basic volcanics,77.2883331373,34.6664756674,Khardung volcanics,Volcanic origin,Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",LADAKH,37
536,536,Pimperguda-Pimperkunta,SR,Telengana,56I06,Manganese,Resource: 3000 T,Fe (Iron) (Wt%): 42%-48%,,Neoproterozoic,"Limestone, Shale, Chert",78.4666669997,19.7333329996,Penganga Group,Sedimentary sequence/Stable shelf,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",TELANGANA,36
537,537,Pimperkunta,SR,Telengana,56I05 & 06,Manganese,"Resource: 10,160 T","Mn (Manganese) (Wt%):42%-47%, P (Phosphorous)(Wt%):0.04%-0.08%",,Neoproterozoic,"Limestone, Shale, Chert",78.4666670002,19.7499999999,Penganga Group,Sedimentary sequence/Stable shelf,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",TELANGANA,36
1463,1463,Guda-Rampur,SR,Telengana,56I09,Manganese,Resource: 2.514 MT,,,Neoproterozoic,Limestone,78.52,19.78,Penganga Group,Sedimentary sequence/Stable shelf,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",TELANGANA,36
500,500,Hiwri,SR,Telengana,56I05,Manganese,Resource: 7000 to 8000 T,"Mn (Manganese) (Wt%): 30%, P (Phosphorous) (Wt%): 0.12%",,Neoproterozoic,Gondites,78.4409499999,19.8173000004,Penganga Group,Sedimentary sequence/Stable shelf,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",MAHARASHTRA,36
535,535,Harenaballi,SR,Karnataka,57C11,Manganese,"Resource: 18,400 T",Mn (Manganese) (Wt%):28%-38%,,Archaean,Metavolcanics-Metasediments,76.7166669997,13.3166669999,Chitradurga Group/Dharwar Supergroup,Volcano-sedimentary,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",KARNATAKA,29
531,531,Hullikatte,SR,Karnataka,57B02 & 03,Manganese,"Resource: 375,300 T","Mn (Manganese) (Wt%):34%-38%,Fe (Iron) (Wt%):23%","Occuar as lumpy, friable, hard.",Archaean,"BFQ, Phyllite",76.2084923039,14.5457484637,Chitradurga Group/Dharwar Supergroup,Volcano sedimentary sequence,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",KARNATAKA,29
529,529,Hattikamba,SR,Karnataka,48I07,Manganese,Resource: 15077 T,Mn (Manganese) (Wt%):40%-50%,,Archaean,Laterite on Volcanosedimentary sequence,74.4499999998,15.2666670002,Peninsular Gneissic Complex-I,Volcano sedimentary sequence/Supergene enrichment,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",KARNATAKA,29
528,528,Terali-Bisgod,SR,Karnataka,48I08,Manganese,"Resource: 32,125 T",Mn (Manganese) (Wt%):25%-50%,,Archaean,Laterite on Volcanosedimentary sequence,74.3666669999,15.1666669998,Peninsular Gneissic Complex-I,Volcano sedimentary sequence/Supergene enrichment,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",KARNATAKA,29
1092,1092,Shivrajpur,SR,Gujarat,46F11,Manganese,,,,Palaeoproterozoic,"Phyllite, Quartzite, Chert and Schist",73.6672497398,22.4165150475,Champaner Group/Aravalli Supergroup,Stratiform/bedded (VMS type),Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",GUJARAT,24
113,113,Sallopat,WR,Rajasthan,46I04,Manganese,,,,Palaeoproterozoic,"Phyllite, Quartzites and Limestones",74.1821638536,23.2114204181,Lunavada Group/Aravalli Supergroup,Sedimentary sequence,Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",RAJASTHAN,08
30,30,Andeshwar,WR,Rajasthan,46I07,Manganese,,,,Palaeoproterozoic,"Phyllite, Quartzites and Limestones",74.3433766523,23.26434538,Lunavada Group/Aravalli Supergroup,Sedimentary sequence,Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",RAJASTHAN,08
111,111,Banswara,WR,Rajasthan,46I03,Manganese,Resource: 0.33 MT (Ref:https://mines.rajasthan.gov.in/),Mn (Manganese) (Wt%): 27-35%,,Palaeoproterozoic,"Phyllite, Quartzites and Limestones",74.2029415722,23.3666878235,Lunavada Group/Aravalli Supergroup,Sedimentary sequence,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",RAJASTHAN,08
501,501,Kodegaon- Gumgaon and Gumgaon-Ramdongri Sectors,CR,Maharashtra,55K15,Manganese,,,,Palaeoproterozoic,Gondites,78.988091922,21.4074889997,Sausar Belt,Sedimentary sequence/Gondite,Occurrence,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",MAHARASHTRA,27
1493,1493,Parseoni,CR,Maharashtra,55O13,Manganese,Resource: 0.159 MT,Mn (Manganese) :7.65 to 25.12%,,Palaeoproterozoic,Pink and white Marble,79.1,21.41878833,Sausar Belt,Sedimentary sequence/Gondite,,"Odisha-45%, Karnataka-20%, Madhya Pradesh-11% (Ref: e-Book on Mineral Sector by MoM; 2016)",MAHARASHTRA,27
